      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_v2>  <n_iter_dr>
  10400000  4.064830e+02  8.563810e-06  4.532379e+01  3.415246e-01  5.800896e+00  1.30e-01  1.02e-04  8.91e-01  0.00000e+00  2.00000e+00
  10500000  4.073156e+02  8.326049e-06  4.705875e+01  3.420854e-01  5.683626e+00  1.31e-01  1.02e-04  8.91e-01  0.00000e+00  2.00000e+00
  10600000  4.081249e+02  8.093432e-06  4.887533e+01  3.426519e-01  5.567780e+00  1.33e-01  1.02e-04  8.91e-01  0.00000e+00  2.00000e+00
  10700000  4.089115e+02  7.865819e-06  5.077832e+01  3.432245e-01  5.453342e+00  1.34e-01  1.02e-04  8.91e-01  0.00000e+00  2.00000e+00
  10800000  4.096758e+02  7.643354e-06  5.277288e+01  3.438031e-01  5.340291e+00  1.36e-01  1.02e-04  8.91e-01  0.00000e+00  2.00000e+00
  10900000  4.104184e+02  7.425791e-06  5.486452e+01  3.443881e-01  5.228609e+00  1.37e-01  1.02e-04  8.91e-01  0.00000e+00  2.00000e+00
  11000000  4.111397e+02  7.212988e-06  5.705918e+01  3.449797e-01  5.118278e+00  1.39e-01  1.02e-04  8.91e-01  0.00000e+00  2.00000e+00
  11100000  4.118402e+02  7.005056e-06  5.936327e+01  3.455780e-01  5.009279e+00  1.41e-01  1.02e-04  8.91e-01  0.00000e+00  2.00000e+00
  11200000  4.125204e+02  6.801666e-06  6.178363e+01  3.461832e-01  4.901595e+00  1.42e-01  1.03e-04  8.91e-01  0.00000e+00  2.00000e+00
  11300000  4.131807e+02  6.603048e-06  6.432777e+01  3.467957e-01  4.795206e+00  1.44e-01  1.03e-04  8.91e-01  0.00000e+00  2.00000e+00
  11400000  4.138216e+02  6.408770e-06  6.700364e+01  3.474156e-01  4.690095e+00  1.46e-01  1.02e-04  8.91e-01  0.00000e+00  2.00000e+00
  11500000  4.144435e+02  6.218970e-06  6.981995e+01  3.480432e-01  4.586245e+00  1.48e-01  1.02e-04  8.91e-01  0.00000e+00  2.00000e+00
  11600000  4.150468e+02  6.033577e-06  7.278613e+01  3.486788e-01  4.483636e+00  1.50e-01  1.02e-04  8.90e-01  0.00000e+00  2.00000e+00
  11700000  4.156321e+02  5.852357e-06  7.591232e+01  3.493226e-01  4.382252e+00  1.52e-01  1.02e-04  8.91e-01  0.00000e+00  2.00000e+00
  11800000  4.161996e+02  5.675431e-06  7.920965e+01  3.499751e-01  4.282072e+00  1.54e-01  1.01e-04  8.90e-01  0.00000e+00  2.00000e+00
  11900000  4.167499e+02  5.502655e-06  8.269020e+01  3.506364e-01  4.183079e+00  1.56e-01  1.02e-04  8.90e-01  0.00000e+00  2.00000e+00
  12000000  4.172833e+02  5.333860e-06  8.636705e+01  3.513071e-01  4.085256e+00  1.58e-01  1.01e-04  8.90e-01  0.00000e+00  2.00000e+00
  12100000  4.178002e+02  5.169057e-06  9.025454e+01  3.519873e-01  3.988583e+00  1.60e-01  1.01e-04  8.90e-01  0.00000e+00  2.00000e+00
  12200000  4.183010e+02  5.008184e-06  9.436838e+01  3.526776e-01  3.893041e+00  1.63e-01  1.01e-04  8.90e-01  0.00000e+00  2.00000e+00
  12300000  4.187861e+02  4.851163e-06  9.872572e+01  3.533783e-01  3.798613e+00  1.65e-01  1.01e-04  8.90e-01  0.00000e+00  2.00000e+00
  12400000  4.192559e+02  4.697960e-06  1.033455e+02  3.540900e-01  3.705278e+00  1.68e-01  1.01e-04  8.90e-01  0.00000e+00  2.00000e+00
  12500000  4.197107e+02  4.548424e-06  1.082484e+02  3.548131e-01  3.613016e+00  1.71e-01  1.01e-04  8.90e-01  0.00000e+00  2.00000e+00
  12600000  4.201510e+02  4.402584e-06  1.134573e+02  3.555480e-01  3.521808e+00  1.73e-01  1.00e-04  8.90e-01  0.00000e+00  2.00000e+00
  12700000  4.205770e+02  4.260298e-06  1.189974e+02  3.562955e-01  3.431634e+00  1.76e-01  1.00e-04  8.90e-01  0.00000e+00  2.00000e+00
  12800000  4.209892e+02  4.121553e-06  1.248969e+02  3.570561e-01  3.342473e+00  1.79e-01  9.97e-05  8.90e-01  0.00000e+00  2.00000e+00
  12900000  4.213878e+02  3.986277e-06  1.311867e+02  3.578305e-01  3.254302e+00  1.82e-01  9.93e-05  8.90e-01  0.00000e+00  2.00000e+00
  13000000  4.217733e+02  3.854442e-06  1.379016e+02  3.586193e-01  3.167100e+00  1.86e-01  9.95e-05  8.90e-01  0.00000e+00  2.00000e+00
  13100000  4.221459e+02  3.725934e-06  1.450801e+02  3.594235e-01  3.080844e+00  1.89e-01  9.94e-05  8.90e-01  0.00000e+00  2.00000e+00
  13200000  4.225059e+02  3.600706e-06  1.527656e+02  3.602438e-01  2.995511e+00  1.93e-01  9.96e-05  8.90e-01  0.00000e+00  2.00000e+00
  13300000  4.228538e+02  3.478770e-06  1.610069e+02  3.610811e-01  2.911074e+00  1.97e-01  9.96e-05  8.90e-01  0.00000e+00  2.00000e+00
  13400000  4.231898e+02  3.359997e-06  1.698587e+02  3.619366e-01  2.827508e+00  2.01e-01  9.97e-05  8.90e-01  0.00000e+00  2.00000e+00
