      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
     15268  8.201488e-02  1.571747e-02  5.575242e+01  9.385135e-01  3.070395e-01  1.973665e+01  1.242456e+01  1.247582e-01  2.390888e-02
     15404  8.309081e-02  1.592366e-02  5.519283e+01  9.290935e-01  3.070395e-01  1.973664e+01  1.244877e+01  1.256334e-01  2.407660e-02
     15540  8.417691e-02  1.613181e-02  5.463900e+01  9.197707e-01  3.070394e-01  1.973664e+01  1.247300e+01  1.265143e-01  2.424541e-02
     15676  8.527336e-02  1.634193e-02  5.409088e+01  9.105437e-01  3.070393e-01  1.973663e+01  1.249725e+01  1.274009e-01  2.441532e-02
     15812  8.638034e-02  1.655408e-02  5.354838e+01  9.014115e-01  3.070392e-01  1.973662e+01  1.252152e+01  1.282932e-01  2.458634e-02
     15948  8.749804e-02  1.676827e-02  5.301144e+01  8.923729e-01  3.070391e-01  1.973662e+01  1.254581e+01  1.291915e-01  2.475848e-02
     16084  8.862664e-02  1.698456e-02  5.248001e+01  8.834270e-01  3.070390e-01  1.973661e+01  1.257013e+01  1.300956e-01  2.493175e-02
     16220  8.976634e-02  1.720297e-02  5.195401e+01  8.745725e-01  3.070389e-01  1.973660e+01  1.259447e+01  1.310058e-01  2.510617e-02
     16356  9.091733e-02  1.742355e-02  5.143338e+01  8.658085e-01  3.070387e-01  1.973660e+01  1.261884e+01  1.319219e-01  2.528174e-02
     16492  9.207981e-02  1.764633e-02  5.091806e+01  8.571338e-01  3.070386e-01  1.973659e+01  1.264324e+01  1.328441e-01  2.545848e-02
     16628  9.325400e-02  1.787136e-02  5.040799e+01  8.485474e-01  3.070385e-01  1.973658e+01  1.266767e+01  1.337725e-01  2.563639e-02
     16764  9.444009e-02  1.809866e-02  4.990310e+01  8.400484e-01  3.070384e-01  1.973658e+01  1.269213e+01  1.347071e-01  2.581550e-02
     16900  9.563831e-02  1.832829e-02  4.940334e+01  8.316356e-01  3.070383e-01  1.973657e+01  1.271662e+01  1.356480e-01  2.599581e-02
     17036  9.684887e-02  1.856028e-02  4.890865e+01  8.233082e-01  3.070382e-01  1.973656e+01  1.274114e+01  1.365952e-01  2.617734e-02
     17172  9.807201e-02  1.879469e-02  4.841897e+01  8.150651e-01  3.070381e-01  1.973655e+01  1.276570e+01  1.375488e-01  2.636009e-02
     17308  9.930794e-02  1.903154e-02  4.793423e+01  8.069053e-01  3.070380e-01  1.973655e+01  1.279030e+01  1.385089e-01  2.654408e-02
     17444  1.005569e-01  1.927090e-02  4.745440e+01  7.988279e-01  3.070378e-01  1.973654e+01  1.281493e+01  1.394755e-01  2.672933e-02
     17580  1.018191e-01  1.951279e-02  4.697940e+01  7.908319e-01  3.070377e-01  1.973653e+01  1.283961e+01  1.404488e-01  2.691584e-02
     17716  1.030949e-01  1.975728e-02  4.650918e+01  7.829165e-01  3.070376e-01  1.973652e+01  1.286432e+01  1.414287e-01  2.710363e-02
     17852  1.043844e-01  2.000441e-02  4.604369e+01  7.750807e-01  3.070375e-01  1.973652e+01  1.288908e+01  1.424153e-01  2.729272e-02
     17988  1.056880e-01  2.025422e-02  4.558288e+01  7.673235e-01  3.070374e-01  1.973651e+01  1.291388e+01  1.434088e-01  2.748311e-02
     18124  1.070058e-01  2.050678e-02  4.512668e+01  7.596441e-01  3.070372e-01  1.973650e+01  1.293873e+01  1.444092e-01  2.767482e-02
     18260  1.083382e-01  2.076212e-02  4.467506e+01  7.520416e-01  3.070371e-01  1.973649e+01  1.296362e+01  1.454165e-01  2.786787e-02
     18396  1.096854e-01  2.102031e-02  4.422795e+01  7.445152e-01  3.070370e-01  1.973648e+01  1.298857e+01  1.464309e-01  2.806227e-02
     18532  1.110478e-01  2.128139e-02  4.378531e+01  7.370639e-01  3.070368e-01  1.973647e+01  1.301356e+01  1.474524e-01  2.825803e-02
     18668  1.124255e-01  2.154542e-02  4.334708e+01  7.296870e-01  3.070367e-01  1.973647e+01  1.303861e+01  1.484811e-01  2.845517e-02
     18804  1.138189e-01  2.181246e-02  4.291322e+01  7.223835e-01  3.070366e-01  1.973646e+01  1.306371e+01  1.495170e-01  2.865370e-02
     18940  1.152284e-01  2.208256e-02  4.248367e+01  7.151527e-01  3.070364e-01  1.973645e+01  1.308886e+01  1.505604e-01  2.885364e-02
     19076  1.166541e-01  2.235579e-02  4.205839e+01  7.079938e-01  3.070363e-01  1.973644e+01  1.311407e+01  1.516111e-01  2.905501e-02
     19212  1.180964e-01  2.263220e-02  4.163733e+01  7.009059e-01  3.070361e-01  1.973643e+01  1.313934e+01  1.526694e-01  2.925782e-02
     19348  1.195557e-01  2.291185e-02  4.122045e+01  6.938882e-01  3.070360e-01  1.973642e+01  1.316467e+01  1.537352e-01  2.946208e-02
     19484  1.210322e-01  2.319481e-02  4.080769e+01  6.869400e-01  3.070358e-01  1.973641e+01  1.319006e+01  1.548088e-01  2.966782e-02
     19620  1.225263e-01  2.348115e-02  4.039901e+01  6.800604e-01  3.070357e-01  1.973640e+01  1.321551e+01  1.558901e-01  2.987504e-02
     19756  1.240384e-01  2.377093e-02  3.999437e+01  6.732488e-01  3.070355e-01  1.973639e+01  1.324103e+01  1.569793e-01  3.008378e-02
     19892  1.255687e-01  2.406421e-02  3.959371e+01  6.665044e-01  3.070354e-01  1.973638e+01  1.326662e+01  1.580764e-01  3.029403e-02
     20028  1.271177e-01  2.436106e-02  3.919701e+01  6.598264e-01  3.070352e-01  1.973637e+01  1.329227e+01  1.591815e-01  3.050582e-02
     20164  1.286858e-01  2.466156e-02  3.880420e+01  6.532140e-01  3.070350e-01  1.973636e+01  1.331800e+01  1.602948e-01  3.071917e-02
     20300  1.302732e-01  2.496578e-02  3.841525e+01  6.466667e-01  3.070349e-01  1.973635e+01  1.334380e+01  1.614163e-01  3.093410e-02
     20436  1.318805e-01  2.527380e-02  3.803012e+01  6.401835e-01  3.070347e-01  1.973634e+01  1.336967e+01  1.625461e-01  3.115062e-02
     20572  1.335079e-01  2.558568e-02  3.764877e+01  6.337640e-01  3.070345e-01  1.973633e+01  1.339562e+01  1.636844e-01  3.136875e-02
     20708  1.351559e-01  2.590150e-02  3.727115e+01  6.274072e-01  3.070344e-01  1.973631e+01  1.342164e+01  1.648311e-01  3.158851e-02
     20844  1.368249e-01  2.622135e-02  3.689722e+01  6.211126e-01  3.070342e-01  1.973630e+01  1.344775e+01  1.659864e-01  3.180992e-02
     20980  1.385153e-01  2.654531e-02  3.652694e+01  6.148795e-01  3.070340e-01  1.973629e+01  1.347393e+01  1.671505e-01  3.203300e-02
     21116  1.402276e-01  2.687345e-02  3.616027e+01  6.087072e-01  3.070338e-01  1.973628e+01  1.350020e+01  1.683233e-01  3.225777e-02
     21252  1.419621e-01  2.720587e-02  3.579718e+01  6.025951e-01  3.070336e-01  1.973627e+01  1.352656e+01  1.695051e-01  3.248424e-02
     21388  1.437195e-01  2.754265e-02  3.543762e+01  5.965424e-01  3.070334e-01  1.973625e+01  1.355300e+01  1.706959e-01  3.271245e-02
     21524  1.455000e-01  2.788388e-02  3.508156e+01  5.905486e-01  3.070332e-01  1.973624e+01  1.357953e+01  1.718958e-01  3.294240e-02
     21660  1.473043e-01  2.822965e-02  3.472895e+01  5.846130e-01  3.070330e-01  1.973623e+01  1.360615e+01  1.731049e-01  3.317412e-02
     21796  1.491327e-01  2.858006e-02  3.437977e+01  5.787350e-01  3.070328e-01  1.973622e+01  1.363287e+01  1.743234e-01  3.340763e-02
     21932  1.509859e-01  2.893519e-02  3.403397e+01  5.729139e-01  3.070326e-01  1.973620e+01  1.365968e+01  1.755513e-01  3.364295e-02
     22068  1.528642e-01  2.929516e-02  3.369152e+01  5.671492e-01  3.070324e-01  1.973619e+01  1.368658e+01  1.767888e-01  3.388010e-02
     22204  1.547682e-01  2.966005e-02  3.335238e+01  5.614403e-01  3.070322e-01  1.973618e+01  1.371359e+01  1.780359e-01  3.411911e-02
     22340  1.566985e-01  3.002997e-02  3.301651e+01  5.557864e-01  3.070320e-01  1.973616e+01  1.374070e+01  1.792929e-01  3.435999e-02
     22475  1.586411e-01  3.040225e-02  3.268632e+01  5.502282e-01  3.070317e-01  1.973615e+01  1.376771e+01  1.805504e-01  3.460099e-02
     22610  1.606107e-01  3.077970e-02  3.235929e+01  5.447231e-01  3.070315e-01  1.973613e+01  1.379482e+01  1.818178e-01  3.484388e-02
     22745  1.626077e-01  3.116243e-02  3.203539e+01  5.392706e-01  3.070313e-01  1.973612e+01  1.382204e+01  1.830952e-01  3.508868e-02
     22880  1.646329e-01  3.155053e-02  3.171458e+01  5.338703e-01  3.070310e-01  1.973610e+01  1.384937e+01  1.843828e-01  3.533543e-02
     23015  1.666868e-01  3.194413e-02  3.139683e+01  5.285214e-01  3.070308e-01  1.973609e+01  1.387680e+01  1.856805e-01  3.558414e-02
     23150  1.687699e-01  3.234335e-02  3.108211e+01  5.232236e-01  3.070306e-01  1.973607e+01  1.390435e+01  1.869887e-01  3.583484e-02
     23285  1.708829e-01  3.274829e-02  3.077039e+01  5.179762e-01  3.070303e-01  1.973605e+01  1.393202e+01  1.883074e-01  3.608755e-02
     23420  1.730265e-01  3.315909e-02  3.046164e+01  5.127787e-01  3.070300e-01  1.973604e+01  1.395980e+01  1.896367e-01  3.634229e-02
