     i         log_r      log_rmid             m           rho            v2        trelax            kn
   164  1.498705e+00  1.495372e+00  1.027212e+00  5.787473e-05  1.409190e-02  1.455547e+05  2.755552e+01
   165  1.505346e+00  1.502039e+00  1.054856e+00  5.636991e-05  1.396132e-02  1.501376e+05  2.805116e+01
   166  1.511938e+00  1.508655e+00  1.082819e+00  5.487686e-05  1.383243e-02  1.549393e+05  2.856235e+01
   167  1.518485e+00  1.515224e+00  1.111094e+00  5.339642e-05  1.370510e-02  1.599730e+05  2.908979e+01
   168  1.524989e+00  1.521749e+00  1.139677e+00  5.192942e-05  1.357924e-02  1.652528e+05  2.963421e+01
   169  1.531455e+00  1.528234e+00  1.168559e+00  5.047664e-05  1.345473e-02  1.707938e+05  3.019639e+01
   170  1.537886e+00  1.534682e+00  1.197736e+00  4.903881e-05  1.333149e-02  1.766122e+05  3.077716e+01
   171  1.544283e+00  1.541096e+00  1.227200e+00  4.761665e-05  1.320941e-02  1.827256e+05  3.137738e+01
   172  1.550652e+00  1.547479e+00  1.256946e+00  4.621080e-05  1.308842e-02  1.891528e+05  3.199796e+01
   173  1.556993e+00  1.553834e+00  1.286966e+00  4.482188e-05  1.296844e-02  1.959142e+05  3.263990e+01
   174  1.563312e+00  1.560164e+00  1.317256e+00  4.345045e-05  1.284941e-02  2.030319e+05  3.330420e+01
   175  1.569609e+00  1.566472e+00  1.347808e+00  4.209701e-05  1.273126e-02  2.105296e+05  3.399198e+01
   176  1.575888e+00  1.572760e+00  1.378616e+00  4.076202e-05  1.261394e-02  2.184333e+05  3.470440e+01
   177  1.582152e+00  1.579032e+00  1.409675e+00  3.944589e-05  1.249742e-02  2.267712e+05  3.544268e+01
   178  1.588404e+00  1.585290e+00  1.440978e+00  3.814898e-05  1.238168e-02  2.355739e+05  3.620816e+01
   179  1.594647e+00  1.591537e+00  1.472519e+00  3.687160e-05  1.226670e-02  2.448749e+05  3.700223e+01
   180  1.600883e+00  1.597776e+00  1.504292e+00  3.561400e-05  1.215248e-02  2.547105e+05  3.782639e+01
   181  1.607115e+00  1.604010e+00  1.536292e+00  3.437641e-05  1.203904e-02  2.651207e+05  3.868224e+01
   182  1.613346e+00  1.610242e+00  1.568512e+00  3.315900e-05  1.192640e-02  2.761493e+05  3.957149e+01
   183  1.619580e+00  1.616474e+00  1.600947e+00  3.196191e-05  1.181461e-02  2.878442e+05  4.049596e+01
   184  1.625819e+00  1.622711e+00  1.633591e+00  3.078524e-05  1.170374e-02  3.002584e+05  4.145760e+01
   185  1.632067e+00  1.628954e+00  1.666439e+00  2.962906e-05  1.159386e-02  3.134498e+05  4.245851e+01
   186  1.638326e+00  1.635208e+00  1.699484e+00  2.849343e-05  1.148507e-02  3.274827e+05  4.350093e+01
   187  1.644601e+00  1.641475e+00  1.732722e+00  2.737836e-05  1.137749e-02  3.424280e+05  4.458726e+01
   188  1.650894e+00  1.647759e+00  1.766147e+00  2.628389e-05  1.127124e-02  3.583642e+05  4.572010e+01
   189  1.657210e+00  1.654064e+00  1.799754e+00  2.521001e-05  1.116647e-02  3.753782e+05  4.690221e+01
   190  1.663553e+00  1.660393e+00  1.833536e+00  2.415676e-05  1.106335e-02  3.935664e+05  4.813657e+01
   191  1.669926e+00  1.666751e+00  1.867490e+00  2.312418e-05  1.096205e-02  4.130359e+05  4.942636e+01
   192  1.676334e+00  1.673141e+00  1.901609e+00  2.211229e-05  1.086278e-02  4.339060e+05  5.077504e+01
   193  1.682781e+00  1.679569e+00  1.935889e+00  2.112120e-05  1.076574e-02  4.563096e+05  5.218632e+01
   194  1.689273e+00  1.686039e+00  1.970325e+00  2.015099e-05  1.067112e-02  4.803952e+05  5.366419e+01
   195  1.695815e+00  1.692557e+00  2.004912e+00  1.920183e-05  1.057915e-02  5.063280e+05  5.521296e+01
   196  1.702411e+00  1.699126e+00  2.039645e+00  1.827396e-05  1.049004e-02  5.342922e+05  5.683723e+01
   197  1.709068e+00  1.705753e+00  2.074518e+00  1.736766e-05  1.040399e-02  5.644932e+05  5.854195e+01
   198  1.715792e+00  1.712443e+00  2.109526e+00  1.648328e-05  1.032118e-02  5.971613e+05  6.033248e+01
   199  1.722588e+00  1.719203e+00  2.144666e+00  1.562123e-05  1.024178e-02  6.325530e+05  6.221460e+01
   200  1.729463e+00  1.726039e+00  2.179932e+00  1.478202e-05  1.016591e-02  6.709548e+05  6.419450e+01
   201  1.736424e+00  1.732958e+00  2.215319e+00  1.396619e-05  1.009364e-02  7.126857e+05  6.627883e+01
   202  1.743478e+00  1.739965e+00  2.250822e+00  1.317438e-05  1.002500e-02  7.581022e+05  6.847477e+01
   203  1.750632e+00  1.747070e+00  2.286438e+00  1.240724e-05  9.959923e-03  8.076008e+05  7.079003e+01
   204  1.757893e+00  1.754278e+00  2.322160e+00  1.166549e-05  9.898289e-03  8.616221e+05  7.323288e+01
   205  1.765268e+00  1.761596e+00  2.357985e+00  1.094984e-05  9.839870e-03  9.206563e+05  7.581221e+01
   206  1.772765e+00  1.769032e+00  2.393907e+00  1.026099e-05  9.784343e-03  9.852467e+05  7.853754e+01
   207  1.780390e+00  1.776594e+00  2.429923e+00  9.599586e-06  9.731284e-03  1.055996e+06  8.141912e+01
   208  1.788150e+00  1.784287e+00  2.466027e+00  8.966213e-06  9.680171e-03  1.133573e+06  8.446791e+01
   209  1.796051e+00  1.792118e+00  2.502214e+00  8.361340e-06  9.630388e-03  1.218715e+06  8.769562e+01
   210  1.804100e+00  1.800094e+00  2.538480e+00  7.785292e-06  9.581247e-03  1.312242e+06  9.111487e+01
   211  1.812301e+00  1.808220e+00  2.574820e+00  7.238229e-06  9.532003e-03  1.415062e+06  9.473915e+01
   212  1.820659e+00  1.816500e+00  2.611229e+00  6.720123e-06  9.481887e-03  1.528183e+06  9.858294e+01
   213  1.829179e+00  1.824940e+00  2.647704e+00  6.230746e-06  9.430133e-03  1.652727e+06  1.026618e+02
   214  1.837862e+00  1.833542e+00  2.684236e+00  5.769685e-06  9.376016e-03  1.789941e+06  1.069923e+02
   215  1.846712e+00  1.842310e+00  2.720824e+00  5.336332e-06  9.318881e-03  1.941222e+06  1.115924e+02
   216  1.855731e+00  1.851245e+00  2.757461e+00  4.929907e-06  9.258164e-03  2.108137e+06  1.164812e+02
   217  1.864919e+00  1.860349e+00  2.794143e+00  4.549492e-06  9.193414e-03  2.292444e+06  1.216796e+02
   218  1.874277e+00  1.869623e+00  2.830864e+00  4.194062e-06  9.124297e-03  2.496120e+06  1.272098e+02
   219  1.883806e+00  1.879067e+00  2.867619e+00  3.862511e-06  9.050594e-03  2.721396e+06  1.330958e+02
   220  1.893504e+00  1.888682e+00  2.904402e+00  3.553685e-06  8.972188e-03  2.970790e+06  1.393635e+02
   221  1.903372e+00  1.898466e+00  2.941208e+00  3.266408e-06  8.889049e-03  3.247147e+06  1.460410e+02
   222  1.913409e+00  1.908420e+00  2.978032e+00  2.999510e-06  8.801217e-03  3.553680e+06  1.531585e+02
   223  1.923614e+00  1.918542e+00  3.014867e+00  2.751838e-06  8.708783e-03  3.894022e+06  1.607487e+02
   224  1.933985e+00  1.928831e+00  3.051708e+00  2.522266e-06  8.611877e-03  4.272286e+06  1.688470e+02
   225  1.944522e+00  1.939285e+00  3.088549e+00  2.309703e-06  8.510653e-03  4.693129e+06  1.774918e+02
   226  1.955222e+00  1.949905e+00  3.125383e+00  2.113101e-06  8.405283e-03  5.161829e+06  1.867246e+02
   227  1.966085e+00  1.960687e+00  3.162204e+00  1.931459e-06  8.295953e-03  5.684358e+06  1.965902e+02
   228  1.977107e+00  1.971631e+00  3.199004e+00  1.763815e-06  8.182857e-03  6.267501e+06  2.071375e+02
   229  1.988289e+00  1.982734e+00  3.235778e+00  1.609253e-06  8.066193e-03  6.918968e+06  2.184194e+02
   230  1.999627e+00  1.993995e+00  3.272518e+00  1.466899e-06  7.946166e-03  7.647528e+06  2.304936e+02
