      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
   1484350  5.931180e+01  2.030392e-02  5.130271e+01  2.472553e+00  3.076541e-01  1.546765e+02  4.105985e-02  1.422014e-01  4.867913e-05
   1498085  5.995009e+01  2.052243e-02  5.078966e+01  2.447826e+00  3.076608e-01  1.546799e+02  4.113594e-02  1.431827e-01  4.901505e-05
   1511823  6.059131e+01  2.074193e-02  5.028174e+01  2.423347e+00  3.076676e-01  1.546833e+02  4.121212e-02  1.441705e-01  4.935321e-05
   1525564  6.123550e+01  2.096245e-02  4.977891e+01  2.399113e+00  3.076745e-01  1.546868e+02  4.128837e-02  1.451650e-01  4.969362e-05
   1539308  6.188271e+01  2.118401e-02  4.928110e+01  2.375121e+00  3.076813e-01  1.546902e+02  4.136471e-02  1.461661e-01  5.003632e-05
   1553055  6.253300e+01  2.140662e-02  4.878826e+01  2.351369e+00  3.076882e-01  1.546937e+02  4.144113e-02  1.471739e-01  5.038132e-05
   1566805  6.318640e+01  2.163030e-02  4.830035e+01  2.327853e+00  3.076951e-01  1.546971e+02  4.151765e-02  1.481884e-01  5.072864e-05
   1580557  6.384293e+01  2.185504e-02  4.781733e+01  2.304574e+00  3.077020e-01  1.547006e+02  4.159425e-02  1.492098e-01  5.107827e-05
   1594312  6.450267e+01  2.208089e-02  4.733913e+01  2.281527e+00  3.077090e-01  1.547041e+02  4.167094e-02  1.502380e-01  5.143027e-05
   1608069  6.516564e+01  2.230784e-02  4.686573e+01  2.258711e+00  3.077159e-01  1.547076e+02  4.174773e-02  1.512732e-01  5.178462e-05
   1621828  6.583189e+01  2.253592e-02  4.639706e+01  2.236124e+00  3.077229e-01  1.547111e+02  4.182461e-02  1.523152e-01  5.214134e-05
   1635590  6.650152e+01  2.276515e-02  4.593306e+01  2.213761e+00  3.077300e-01  1.547147e+02  4.190159e-02  1.533644e-01  5.250049e-05
   1649354  6.717453e+01  2.299553e-02  4.547370e+01  2.191622e+00  3.077371e-01  1.547182e+02  4.197867e-02  1.544206e-01  5.286207e-05
   1663120  6.785097e+01  2.322710e-02  4.501894e+01  2.169704e+00  3.077442e-01  1.547218e+02  4.205586e-02  1.554840e-01  5.322608e-05
   1676887  6.853086e+01  2.345984e-02  4.456874e+01  2.148007e+00  3.077513e-01  1.547254e+02  4.213314e-02  1.565544e-01  5.359253e-05
   1690656  6.921431e+01  2.369380e-02  4.412305e+01  2.126527e+00  3.077584e-01  1.547290e+02  4.221053e-02  1.576322e-01  5.396146e-05
   1704427  6.990135e+01  2.392899e-02  4.368180e+01  2.105260e+00  3.077656e-01  1.547326e+02  4.228804e-02  1.587172e-01  5.433290e-05
   1718199  7.059201e+01  2.416542e-02  4.324497e+01  2.084208e+00  3.077729e-01  1.547362e+02  4.236565e-02  1.598096e-01  5.470684e-05
   1731973  7.128640e+01  2.440313e-02  4.281250e+01  2.063364e+00  3.077801e-01  1.547399e+02  4.244338e-02  1.609094e-01  5.508334e-05
   1745748  7.198452e+01  2.464211e-02  4.238437e+01  2.042730e+00  3.077874e-01  1.547435e+02  4.252123e-02  1.620167e-01  5.546239e-05
   1759524  7.268643e+01  2.488240e-02  4.196052e+01  2.022303e+00  3.077947e-01  1.547472e+02  4.259919e-02  1.631314e-01  5.584400e-05
   1773301  7.339220e+01  2.512400e-02  4.154091e+01  2.002079e+00  3.078021e-01  1.547509e+02  4.267727e-02  1.642538e-01  5.622821e-05
   1787079  7.410188e+01  2.536694e-02  4.112549e+01  1.982058e+00  3.078095e-01  1.547546e+02  4.275548e-02  1.653838e-01  5.661504e-05
   1800858  7.481554e+01  2.561125e-02  4.071423e+01  1.962237e+00  3.078169e-01  1.547584e+02  4.283381e-02  1.665215e-01  5.700451e-05
   1814638  7.553325e+01  2.585694e-02  4.030707e+01  1.942614e+00  3.078243e-01  1.547621e+02  4.291227e-02  1.676670e-01  5.739664e-05
   1828419  7.625507e+01  2.610403e-02  3.990397e+01  1.923187e+00  3.078318e-01  1.547659e+02  4.299087e-02  1.688204e-01  5.779147e-05
   1842200  7.698102e+01  2.635254e-02  3.950492e+01  1.903954e+00  3.078394e-01  1.547697e+02  4.306959e-02  1.699816e-01  5.818898e-05
   1855982  7.771120e+01  2.660250e-02  3.910985e+01  1.884914e+00  3.078469e-01  1.547735e+02  4.314846e-02  1.711508e-01  5.858924e-05
   1869764  7.844565e+01  2.685392e-02  3.871873e+01  1.866063e+00  3.078545e-01  1.547773e+02  4.322746e-02  1.723280e-01  5.899223e-05
   1883546  7.918443e+01  2.710683e-02  3.833153e+01  1.847402e+00  3.078622e-01  1.547811e+02  4.330660e-02  1.735133e-01  5.939798e-05
   1897328  7.992761e+01  2.736123e-02  3.794820e+01  1.828928e+00  3.078698e-01  1.547850e+02  4.338589e-02  1.747067e-01  5.980651e-05
   1911110  8.067526e+01  2.761717e-02  3.756870e+01  1.810638e+00  3.078776e-01  1.547889e+02  4.346532e-02  1.759084e-01  6.021786e-05
   1924892  8.142745e+01  2.787467e-02  3.719300e+01  1.792530e+00  3.078853e-01  1.547928e+02  4.354490e-02  1.771183e-01  6.063205e-05
   1938674  8.218425e+01  2.813374e-02  3.682105e+01  1.774604e+00  3.078931e-01  1.547967e+02  4.362463e-02  1.783366e-01  6.104911e-05
   1952455  8.294570e+01  2.839440e-02  3.645283e+01  1.756858e+00  3.079009e-01  1.548006e+02  4.370451e-02  1.795632e-01  6.146902e-05
   1966236  8.371191e+01  2.865670e-02  3.608828e+01  1.739288e+00  3.079088e-01  1.548046e+02  4.378456e-02  1.807984e-01  6.189185e-05
   1980016  8.448291e+01  2.892063e-02  3.572739e+01  1.721895e+00  3.079167e-01  1.548086e+02  4.386476e-02  1.820421e-01  6.231760e-05
